"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101"
"Australia",20,37.6868003151486,46.0757503483244,50.990432856724,54.536197944574,57.2620933812888,59.5626822070482,61.5228491131494,63.1973080099481,64.6391097128255,65.9353716077056,67.0955578809522,68.1618949863307,69.14595738574,70.0556778222741,70.8976533947318,71.6795222060782,72.4102012494317,73.0984559950285,73.7319857587464,74.3374538350671,74.9207925526787,75.4630871254029,75.9909408273791,76.4951053919115,76.9784165428612,77.4474504437517,77.8938275531761,78.3292837954465,78.7449019112786,79.1477275168423,79.5389094168791,79.9105806853231,80.2822519537671,80.626716741894,80.9698172175368,81.3046608602202,81.622672944169,81.9406850281179,82.2481042408785,82.5448893409351,82.8416744409918,83.1303445568434,83.4097353597571,83.6891261626708,83.9651247474446,84.2306831434254,84.4962415394062,84.761799935387,85.0181876559229,85.2730345470886,85.5278814382543,85.7800857296281,86.0267920195477,86.2734983094674,86.520204599387,86.7628190163781,87.0034772240352,87.2441354316923,87.4847936393494,87.7216316900365,87.9582120773449,88.1947924646533,88.4311448934725,88.6660062624487,88.900867631425,89.1357290004013,89.3710084147683,89.6072606634584,89.8435129121485,90.0797651608387,90.3186375220484,90.5602252413121,90.8018129605758,91.0434006798396,91.2927064023177,91.5443735363063,91.7960406702949,92.0506818725084,92.318037744172,92.5853936158357,92.8527494874993,93.1385673782219,93.4283485520995,93.7181297259772,94.0299616898712,94.3504767205132,94.6709917511551,95.0289767759153,95.3906904923612,95.7753960795437,96.1916783349904,96.6266444289031,97.1149691804643,97.64323063358,98.2274858424374,98.9259865608836,99.7530516515357,100.810295532419,102.434577943667,109.999999999855
"Austria",20,39.2601131123599,47.1006332281371,51.150591935967,54.0738699434305,56.3519803614246,58.2428673092216,59.8696163031094,61.2951135331067,62.5506979330892,63.6841680028633,64.7265387124217,65.6966339215527,66.6085889250178,67.472628647197,68.2960932738412,69.0841909596888,69.84057310123,70.5679534160926,71.2669444863251,71.9291181262906,72.5657587513029,73.1802418116356,73.7594670904856,74.3152110505354,74.8542790224567,75.3585291871543,75.8553352689736,76.3208776947443,76.7802253012701,77.2123964338598,77.641282465508,78.0415980154921,78.4419135654762,78.816390993089,79.1864829247416,79.5448605136297,79.8872635567751,80.2296665999205,80.5528680255648,80.8711055933135,81.1893431610622,81.4880328619433,81.7860452821975,82.0840577024518,82.3664541993112,82.6479681011093,82.9294820029074,83.2010697057168,83.4693399238935,83.7376101420702,84.0017879780286,84.2596892829528,84.517590587877,84.7754918928011,85.0264115044367,85.2765979837907,85.5267844631447,85.7753592122709,86.0203069210152,86.2652546297594,86.5102023385037,86.7533003938534,86.9953279077992,87.237355421745,87.4793829356908,87.7209072600858,87.962384729008,88.2038621979301,88.4457709074846,88.6895451488273,88.93331939017,89.1770936315128,89.4238700026114,89.6736991358487,89.923528269086,90.1733574023232,90.432999536166,90.6938130839854,90.9546266318048,91.2230574998363,91.5010808295174,91.7791041591986,92.0622458039812,92.3651785255291,92.6681112470771,92.9791340793332,93.3165631740693,93.6539922688054,94.0179352381074,94.4021018156782,94.8003836786543,95.2474078183213,95.7123291758427,96.2440755703931,96.8356018634343,97.5029242741671,98.3117122358629,99.3879218895161,100.97537803474,109.999999999093
"Belgium",20,37.0997395726647,44.9336875767155,49.460806891669,52.613905623111,54.9778057119365,56.9009767471548,58.5545605963083,60.0278686065966,61.3689971520341,62.5818963753079,63.7009845370766,64.7384120678364,65.705256184694,66.6128485541527,67.4705805188622,68.2845023952935,69.0580540625043,69.7940247455056,70.4957987131025,71.1576781294405,71.784714755841,72.388836717986,72.9654994203826,73.5137193777597,74.0499507441201,74.5557332018228,75.0516365820214,75.5264829427875,75.9892369800563,76.4355629232553,76.8709932471817,77.290583097934,77.7034223624101,78.0973028396554,78.4911833169008,78.8605358507002,79.2293267759876,79.5851212028843,79.9297194859385,80.2743177689927,80.5980312525206,80.9200628882942,81.239448712911,81.5412393574008,81.8430300018906,82.1422283034996,82.4265639380349,82.7108995725703,82.9952352071056,83.2654559514647,83.5354361323658,83.805416313267,84.0682504898041,84.3272311375613,84.5862117853186,84.8438817699348,85.0953515056617,85.3468212413886,85.5982909771156,85.8473120683892,86.0946701785645,86.3420282887398,86.5893863989151,86.8358238435334,87.0822200133741,87.3286161832148,87.5756311044111,87.8240597123489,88.0724883202867,88.3209169282245,88.5729080704941,88.8265628890827,89.0802177076714,89.3350771860594,89.597753113983,89.8604290419067,90.1231049698303,90.3954537985095,90.671806257295,90.9481587160805,91.2332401295412,91.5289664966505,91.8246928637598,92.1311976607904,92.4533937694916,92.7755898781927,93.119697793099,93.4775885372229,93.8402530753018,94.2462985904922,94.6523441056825,95.1159494145321,95.5872085818749,96.1445617199616,96.7482304021278,97.4351442146914,98.2798901873162,99.3932331950034,101.040604707066,110
"Bulgaria",20,32.5972003026604,39.9719880570432,44.113359721924,46.9873261608384,49.2143091634048,51.0679903898117,52.6647365384039,54.0730061813554,55.3331309887454,56.4856758207044,57.5572687507602,58.5620457915445,59.5103950554203,60.4092208320257,61.2630057581001,62.0753222996259,62.8498368967996,63.5904737448227,64.3011868681484,64.9849120926033,65.634031709167,66.2633604649349,66.8757106513016,67.4626987335457,68.0339208829908,68.5944440994162,69.1307411369584,69.659633276836,70.1726690886707,70.6734676502365,71.1645292235641,71.6400974398992,72.1097630931766,72.5621548792587,73.0104385413277,73.4413448285116,73.8679125410885,74.2794103371136,74.6841486069614,75.0789935450696,75.4625328304302,75.8437022025242,76.2075125298147,76.5713228571052,76.9236837808592,77.2697789938045,77.6151625884394,77.9457428408854,78.2763230933314,78.6026004875564,78.9198748893147,79.2371492910729,79.5490248657493,79.8552069953231,80.161389124897,80.462737396352,80.7600872176785,81.057437039005,81.3514013742194,81.6422475834925,81.9330937927656,82.2222012201499,82.5089670831846,82.7957329462192,83.0820662131946,83.3673283723167,83.6525905314387,83.9380268616974,84.2246015942127,84.511176326728,84.7977510592433,85.0887678512061,85.3798197786678,85.6708717061295,85.9692501607712,86.2684433919714,86.5676366231715,86.8779862860306,87.1896890950835,87.5014714382426,87.8309851034378,88.160498768633,88.4966409598511,88.8504200494079,89.2041991389647,89.5814057670172,89.9673122701432,90.3698275239259,90.7975658780088,91.2411734528746,91.7230829571645,92.234924028637,92.7871985922138,93.4126567650872,94.1050555367189,94.9054085281663,95.881633697317,97.1439944221276,99.0469638719714,109.099999999929
"Belarus",20,28.6258430082905,33.7323269669231,37.2967654653016,40.1840282979799,42.66164826161,44.8111084976189,46.7136015566141,48.4186328459304,49.9571477583086,51.3461273668862,52.5989087116499,53.737278858155,54.7854166624515,55.7577484556907,56.667535607368,57.5257809576268,58.3409965860928,59.1196222949104,59.8666692227008,60.5862223353656,61.2761014323578,61.9404667778559,62.5864036022713,63.2162246249232,63.8211867314385,64.4136903578899,64.9955436641695,65.5564152846466,66.109484125471,66.6504618785922,67.1778000320247,67.6999275732734,68.2036751870944,68.7035493601906,69.1891419610474,69.6682676502219,70.1358885090885,70.5958098897244,71.0457389997577,71.488174237283,71.9208715593064,72.347689504166,72.7638210302292,73.1769387078355,73.5773839642429,73.9778292206502,74.3644985722665,74.7503605140152,75.128108043166,75.5007153474966,75.8710154006047,76.2318978336025,76.5927802666004,76.9466026755114,77.297440909368,77.6471421090563,77.9897176639838,78.3322932189113,78.6716004135485,79.0077731081166,79.3439458026846,79.6764095090622,80.0081310139861,80.339568104122,80.6689222178729,80.9982763316238,81.3275925882925,81.6568490107307,81.9861054331688,82.3169425000432,82.6486154940267,82.9802884880101,83.3168831995459,83.6537888933667,83.9929563212716,84.3382637413087,84.6835711613458,85.0368157332395,85.3940978754786,85.7536857820327,86.1270015585627,86.5003173350927,86.8888392530667,87.2829006640249,87.6888256254864,88.109304942376,88.5401316206736,88.9941346597856,89.4620688764221,89.9587673062521,90.4836093569226,91.0350270320635,91.6487143661746,92.3106039377845,93.045109193074,93.8934653404423,94.9241702828639,96.2501134979517,98.2439729468261,109.099999999621
"Canada",20,36.7410463925226,45.6215444985079,50.4166159506296,53.7790292512913,56.3328997520999,58.4138656361942,60.1977515462915,61.7662728950455,63.1700336046633,64.4191657557912,65.5607108770848,66.6126750317391,67.5876904803465,68.4943846558872,69.3390805943516,70.1281971503679,70.8692541850137,71.5700799285387,72.2376639953484,72.8625293883785,73.4622871707442,74.0437206368905,74.5913439506507,75.1241113256509,75.6376904014571,76.1293955737196,76.6109935640818,77.0679221988728,77.5192579180983,77.9469995669267,78.369600721768,78.7734017900856,79.168813050159,79.5536931439372,79.9237479770058,80.2938028100744,80.6411579680385,80.9881265072232,81.3271349995782,81.6536595188391,81.9801840381,82.2955676346953,82.6044935384759,82.9134194422564,83.2117722427734,83.5060079111175,83.8002435794616,84.086671586366,84.3690947219703,84.6515178575745,84.9296296915478,85.2029621724072,85.4762946532666,85.7484068662241,86.0150184501625,86.2816300341009,86.5482416180393,86.8109483627366,87.0727144271969,87.3344804916572,87.5950233070794,87.8534624464061,88.1119015857329,88.3703407250596,88.6272842180971,88.8840338138935,89.1407834096899,89.3977740549996,89.6551581987093,89.9125423424189,90.1699264861286,90.4308488292144,90.6922392810205,90.9536297328265,91.2187736848248,91.488694196935,91.7586147090452,92.030037770459,92.314171204744,92.598304639029,92.8824380733139,93.1863797606583,93.4916264302611,93.7968730998638,94.1312084612807,94.465844886857,94.8122873253774,95.1862417283595,95.5601961313416,95.9800696591505,96.4054130534592,96.8825337302942,97.3744612388249,97.9486879657004,98.57272760356,99.2818501417469,100.141257856803,101.272520274221,102.937622579295,110
"Switzerland",20,41.7186379853898,49.3430422640118,53.682473684478,56.6121638968133,58.9180168158609,60.8667780085695,62.5621542844329,64.0524026538402,65.3688385185229,66.5706647707186,67.677462751028,68.6928978077193,69.633953381342,70.5084730168708,71.3238031104122,72.0790681489665,72.7867295532318,73.4569666032855,74.0965631422481,74.696576715828,75.2675641665255,75.8219143917937,76.3369147558285,76.840471346161,77.3166767065917,77.777738926239,78.2165574786261,78.6424690655261,79.0448353036542,79.4431207912773,79.8107009574382,80.178281123599,80.5246519559669,80.8605226551865,81.1963933544062,81.504918920269,81.8131476613515,82.1197589442443,82.4046653745178,82.6895718047914,82.9744782350649,83.2420121181003,83.5078366554181,83.7736611927358,84.0316424297591,84.282519619624,84.5333968094889,84.7842739993538,85.0247949712254,85.2646233593537,85.504451747482,85.7428572707058,85.9749791919984,86.207101113291,86.4392230345835,86.6697647400315,86.8967454045468,87.1237260690622,87.3507067335776,87.5766123025074,87.8004518409661,88.0242913794248,88.2481309178834,88.471625070871,88.6943904057139,88.9171557405567,89.1399210753996,89.363164970524,89.5876309393791,89.8120969082342,90.0365628770894,90.2625242606352,90.4924904106294,90.7224565606235,90.9524227106176,91.1861285764307,91.4265331284437,91.6669376804568,91.9073422324698,92.1580596708039,92.4152447221329,92.672429773462,92.932508171541,93.2148200145238,93.4971318575067,93.7794437004896,94.0954379142964,94.4140772866115,94.737985122438,95.1079359660775,95.4778868097169,95.89547265473,96.3365289527113,96.8388627207265,97.3772830321609,98.0436845188238,98.8313838756074,99.8444130465477,101.39886224633,110
"Chile",20,32.915712259619,41.1443609142474,46.1880829310896,49.7713965951864,52.5747133903695,54.8415892360389,56.7642544655283,58.4319175264826,59.902345050043,61.2134308024853,62.392744241115,63.4586066064045,64.4394780063269,65.3483987360003,66.1967854723865,66.9943728743664,67.7492365522099,68.4591735726188,69.1332122183511,69.7795011397808,70.4024327724226,70.986126732168,71.5530423351705,72.1004402443208,72.6210730069551,73.1337414421528,73.6194318401898,74.0995950538793,74.5597485111977,75.0139840808794,75.4514261808302,75.8846335172357,76.3012305660418,76.7169645816405,77.1133942053425,77.5098238290445,77.8903700898824,78.2662395027302,78.6340302887328,78.9885322263835,79.3430341640342,79.6794083612549,80.0123118472513,80.3424345317001,80.6548640222052,80.9672935127103,81.2751719940076,81.5697663625185,81.8643607310295,82.1561360353799,82.4366437441677,82.7171514529555,82.9976591617433,83.2684012903223,83.5390612392955,83.8097211882688,84.0766159438836,84.3416262608728,84.6066365778621,84.8711540654853,85.1343414860771,85.397528906669,85.6607163272608,85.9251743309167,86.1898552570104,86.454536183104,86.7211745664729,86.9902013587588,87.2592281510447,87.5289898709949,87.8050142080918,88.0810385451887,88.3570628822855,88.6414539723629,88.9273863063513,89.2133186403396,89.5087158896481,89.8082307184655,90.1077455472829,90.4199831611674,90.7378838622056,91.0557845632439,91.3947672185668,91.7371557854896,92.0869738974769,92.4613419979601,92.8357100984433,93.2440972758762,93.6595377808752,94.1095859978751,94.577312250837,95.0941469273674,95.6329887980535,96.2526679332699,96.9389453338123,97.7233542772456,98.6671042824072,99.8751796319863,101.695577405805,110
"Czech Republic",20,36.1617609340019,44.0421079104076,48.1986998459939,51.164064633469,53.4741019430455,55.3388478003933,56.9229542855922,58.2897597204264,59.5183604775465,60.6187426725638,61.6192748742955,62.5407222260125,63.396642575878,64.1990569780526,64.9552710405185,65.6686916194088,66.3532257494295,67.0138461820587,67.6520907863643,68.262261315131,68.8572603081686,69.4361406174219,69.9891826571549,70.5315930100588,71.0520533473959,71.5572773333108,72.0486385206042,72.5207067792114,72.9841861885931,73.428246351136,73.8658376050375,74.2871912859341,74.7013654530222,75.1047241315283,75.4981155953122,75.8872250221674,76.2622078867463,76.6371907513251,76.9982034469443,77.3564053482762,77.7094507011813,78.0515359479636,78.3936211947459,78.7246378359453,79.0506590046828,79.3766801734204,79.6879722501437,79.9981296114773,80.3078892416844,80.6031606803151,80.8984321189459,81.1937035575767,81.4762814130544,81.7585826895321,82.0408839660098,82.3150451677767,82.5870502729848,82.8590553781929,83.1276414673829,83.39255068993,83.6574599124772,83.9220699679573,84.183436267855,84.4448025677526,84.7061688676502,84.9676578593751,85.2292155669,85.490773274425,85.7531125093661,86.0185764023234,86.2840402952807,86.5495041882379,86.8210236768826,87.0939656195876,87.3669075622925,87.6455107953861,87.9295017839701,88.2134927725542,88.5026699653177,88.801769472846,89.1008689803744,89.4067691590708,89.7262158523965,90.0456625457221,90.3792827694846,90.7261518375782,91.0730209056718,91.4539317205618,91.8377135710366,92.2501002957385,92.6834453899523,93.1501451785538,93.6501633707014,94.213504688058,94.8257751571037,95.5402409955476,96.4123315690514,97.5508365087234,99.2799163257726,109.999999998189
"Germany",20,39.3968274255881,46.6514511363614,50.6362342779443,53.4044386631109,55.5604393655863,57.3778455610978,58.9729705840973,60.4061382954461,61.695100359395,62.8708562591475,63.9525515420673,64.9545316527571,65.890089158589,66.7705054084129,67.60478285427,68.3993986377958,69.1585080856587,69.8849723193756,70.5815119738151,71.247910882518,71.8760235347314,72.4812300247657,73.0652683012337,73.6121484727658,74.1458142442463,74.6525843562849,75.1411307484564,75.6122923104727,76.063501120836,76.5014968998176,76.9226671622526,77.3298916238666,77.7274499925008,78.105966884935,78.4844837773692,78.8372530566216,79.1889217712427,79.5307041985572,79.8576436583635,80.1845831181698,80.4972943297989,80.8022419255804,81.1071895213618,81.3991529800129,81.6854358486852,81.9717187173575,82.2497015272887,82.5209455302999,82.7921895333111,83.0607670780773,83.3206092130832,83.5804513480891,83.8402934830951,84.0940320446343,84.3459497253338,84.5978674060333,84.8488541940133,85.0960614614088,85.3432687288043,85.5904759961998,85.836651815103,86.0820071394476,86.3273624637922,86.5727177881367,86.8186378744058,87.0646286156689,87.310619356932,87.5572912224598,87.8062416876611,88.0551921528623,88.3041426180636,88.5565358645138,88.8110847667916,89.0656336690694,89.3209077612328,89.5846029851641,89.8482982090954,90.1119934330267,90.3850973508401,90.662914303989,90.9407312571378,91.2274760282547,91.5262152642464,91.8249545002382,92.1360730632275,92.4647102617359,92.7933474602443,93.1499661869533,93.5200286402044,93.9037303437322,94.3298180290495,94.7657043607203,95.266472829413,95.8004323269889,96.4005842667286,97.1123511081793,97.9581053468417,99.0387898096994,100.700318744623,109.999999999706
"Denmark",20,40.4867597226566,47.2627217629147,51.1045812934749,53.7516125370775,55.8335106980079,57.5757668891448,59.0983545068823,60.4755914275204,61.7227891538441,62.8776289964362,63.9508299420932,64.9501855850948,65.8824854149497,66.7545629490037,67.5736538226123,68.3465902776594,69.0790749540096,69.7760014613558,70.4421129928818,71.0653604223932,71.6611755097614,72.2375706598599,72.7758945799784,73.2993558869036,73.8003305575697,74.2808336992481,74.7477707345479,75.193594246807,75.6292048046636,76.0471315803529,76.4536530319673,76.8495014298171,77.2289347634457,77.6078139283843,77.9621196766699,78.3164254249556,78.6596727960529,78.9910299138679,79.322387031683,79.6382291311169,79.9493256368792,80.2604221426416,80.5567024591788,80.8508230970817,81.1449437349846,81.4282519162723,81.7090700005635,81.9898880848548,82.2648826476424,82.536120819499,82.8073589913556,83.07682902533,83.3419653677167,83.6071017101033,83.8722380524899,84.1346041696542,84.3966462971681,84.658688424682,84.9203873068108,85.1816844302696,85.4429815537284,85.7042931557066,85.9664744766126,86.2286557975186,86.4908371184247,86.7542175097389,87.0184533141755,87.2826891186122,87.5475289224332,87.8151658675185,88.0828028126038,88.3504397576891,88.6226808177076,88.895968211648,89.1692556055885,89.4473651166957,89.729897607471,90.0124300982463,90.2997647516074,90.5965846261875,90.8934045007677,91.1965498414275,91.514179215006,91.8318085885845,92.1631065632532,92.5097884556104,92.8564703479676,93.237741420144,93.6239791551431,94.0391241262783,94.4784739846788,94.9528939478578,95.4629800734671,96.0416565212732,96.6754969914953,97.4045907827365,98.299120700712,99.4814952256297,101.235416826325,109.999999999834
"Spain",20,42.2481010645244,48.6487909058908,52.4478305543659,55.2732717266036,57.5741766305472,59.5594295921103,61.3013991410707,62.8406603693587,64.2284422404709,65.4880435290123,66.6574802569171,67.7427678198125,68.7467012680144,69.6812476451842,70.5511389824502,71.3625450579066,72.116013145827,72.8164394003724,73.4777133959989,74.1075224126196,74.6969888019596,75.2578226129049,75.8033567295667,76.3101186105319,76.808552596825,77.2792070015601,77.7388291109607,78.1748355131052,78.6023214104174,79.0048116589658,79.4067290795054,79.7776443338186,80.1485595881317,80.5025908480137,80.8449719386,81.1873530291863,81.5057903283002,81.823309261938,82.1381136623084,82.4345217999332,82.730929937558,83.0257227961663,83.3046175630859,83.5835123300054,83.862407096925,84.1291284125448,84.3939532016831,84.6587779908215,84.9185588246609,85.1725767015364,85.4265945784119,85.6806124552873,85.9273458607696,86.1734773491273,86.4196088374851,86.6642867941927,86.9049762664994,87.1456657388061,87.3863552111128,87.6252996195889,87.8626830228715,88.1000664261541,88.3374498294367,88.5741052141612,88.8105001353328,89.0468950565043,89.2832899776758,89.5215421762656,89.7599356460455,89.9983291158255,90.2376240803707,90.4818698195792,90.7261155587877,90.9703612979962,91.2195526058888,91.4743381348737,91.7291236638587,91.9839091928437,92.2537448228903,92.5245950052154,92.7954451875404,93.08021444445,93.3737350348091,93.6672556251682,93.9776876621472,94.3020825816439,94.6264775011407,94.9828581269013,95.3486127167123,95.7315337155039,96.1521876735525,96.5854172071241,97.0786939977776,97.6057061703186,98.1957487027628,98.8941008608612,99.7215935877667,100.780599025925,102.401177002423,110
